"name","group","element","units","context","S428627","S428628","S428629","S428630","S428631","S428632","S428633","S428634","S428635","S428636","S428637","S428638","S428639","S428640","S428641","S428642","S428643","S428644","S428645","S428646","S428647","S428648","S428649","S428650","S428651","S428652","S428653","S428654","S428655","S428656","S428657","S428658","S428659","S428660","S428661","S428662","S428663","S428664","S428665","S428666","S428667","S428668","S428669","S428670","S428671","S428672","S428673","S428674","S428675","S428676","S428677","S428678","S428679","S428680","S428681","S428682","S428683","S428684","S428685","S428686","S428687","S428688","S428689","S428690","S428691","S428692","S428693"
Olea,TRSH,pollen,NISP,,4,,7,3,2,3,7,8,7,8,8,8,5,5,4,4,3,,3,2,3,6,3,2,3,3,1,2,3,6,1,7,4,3,6,,4,3,2,2,,2,6,9,9,1,3,1,3,2,2,4,1,2,5,5,,6,1,20,1,1,4,3,3,9,3
Ozoroa-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Poaceae undiff.,UPHE,pollen,NISP,,283,367,407,414,378,374,334,395,317,939,311,370,329,298,256,236,218,242,126,232,165,140,95,138,75,85,69,74,81,150,67,66,72,78,35,119,120,71,45,60,63,68,78,108,92,62,56,51,71,191,25,42,45,33,7,26,23,22,60,66,40,36,22,25,45,56,150
Podocarpus,TRSH,pollen,NISP,,11,13,15,11,10,40,64,32,60,75,45,50,49,45,28,23,18,14,17,22,23,25,11,14,14,39,38,38,48,111,58,63,55,22,37,35,53,77,43,56,40,47,40,34,39,29,22,36,33,56,49,32,47,47,71,32,32,28,36,64,40,22,23,52,58,60,24
Polyscias fulva-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,4,,
Protea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Psychotria,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax-type (P. schimperiana),TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restionaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,69,69,139,196,172,235,220,337,292,337,236,819,297,312,264,280,299,331,222,195,250,302,207,219,235,230,133,292,269,289,299,345,316,312,285,254,272,258,267,371,295,753,320,360,288,280,307,282,167
Satureja,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searsia-type (S. natalensis),TRSH,pollen,NISP,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Searsia-type (S. tripartita),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Shirakiopsis-type (S. elliptica),TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Silene/Uebelinia-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spermatophyta undiff.,SEED,pollen,NISP,,7,17,4,20,17,7,23,6,11,25,14,1,14,5,6,7,17,12,5,7,19,10,29,9,27,7,20,9,5,25,13,5,7,4,8,7,,14,5,9,5,9,2,7,3,1,7,8,5,10,1,4,2,9,5,5,4,10,3,6,2,4,4,13,,9,9
Stellaria mannii-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Syzygium-type,TRSH,pollen,NISP,,,,,,,,2,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Triletes undiff.,PTER,spore,NISP,,34,13,11,14,16,21,23,17,33,56,22,36,34,54,76,79,64,66,27,23,29,41,17,15,29,33,45,70,70,161,71,93,131,157,173,90,134,36,40,40,92,84,38,57,157,92,43,78,103,144,64,88,83,96,27,65,68,19,34,129,32,48,138,158,96,96,79
Vernonia-type,UPHE,pollen,NISP,,1,,,,1,1,1,1,2,,1,,,,,,,,,2,,1,,,,1,,2,,,1,,,,1,,1,,,,,,,1,,,,,,1,,1,,,,,,1,,1,2,,,,,,
