"name","group","element","units","context","S428969","S428970","S428971","S428972","S428973","S428974","S428975","S428976","S428977","S428978","S428979","S428980","S428981","S428982","S428983","S428984","S428985","S428986","S428987","S428988","S428989","S428990","S428991","S428992","S428993","S428994","S428995","S428996","S428997","S428998","S428999","S429000","S429001","S429002","S429003","S429004","S429005","S429006","S429007","S429008","S429009","S429010","S429011","S429012","S429013","S429014","S429015","S429016","S429017","S429018","S429019","S429020","S429021","S429022","S429023","S429024","S429025","S429026","S429027","S429028","S429029","S429030","S429031","S429032","S429033","S429034","S429035","S429036","S429037","S429038","S429039","S429040","S429041","S429042","S429043","S429044","S429045","S429046","S429047","S429048","S429049","S429050","S429051","S429052","S429053","S429054","S429055","S429056","S429057","S429058","S429059","S429060","S429061","S429062","S429063","S429064"
Leucas,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,3,,2,,,,,1,,,,,,,1,1,,5,,,,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,1,,10,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,1
Macaranga,TRSH,pollen,NISP,,2,1,9,14,2,3,1,32,2,8,105,,15,228,,65,,87,14,66,1,3,,5,1,,,5,1,1,,3,,2,,2,,,6,,,,2,,,,1,,1,,,,,1,1,,23,,,1,,,1,,,,,,,,1,,1,1,12,7,6,14,3,,1,5,17,,14,1,1,8,7,11,,8,,7,,10
Maesa,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,6,,,3,,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,1,,3
Malvaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,,,,,,,,,2,2,,1,,,,,1,,1,,,,,,,1,,,,,2,,,,,,,,,
Merremia,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,4,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,
Moraceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,104,7,5,,,,7,2,,,,,,,,,,,,6,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Myrica,TRSH,pollen,NISP,,1,3,30,53,3,,1,4,16,4,2,8,2,,1,,1,94,2,11,1,3,4,3,,,,2,5,1,,,2,,,1,,1,,10,1,3,4,3,,1,1,,1,2,1,2,15,2,3,,,1,1,,2,,2,,,2,1,1,,,2,5,1,,2,1,,1,1,3,,3,2,,1,,1,,,,1,,,,1,1
Myriophyllum,AQVP,pollen,NISP,,1,1,3,21,1,,63,2049,26,273,1692,264,1,1082,240,28,265,20,54,304,11,267,31,140,24,54,23,34,15,42,51,,,3,21,17,,7,1,62,15,33,4,14,1,1,,,,7,6,1,,,18,2,3,1,7,,5,2,1,2,1,6,4,,,1,1,9,1,4,1,7,1,,,9,2,1,,77,2,,,2,5,,,,,,,6
Neoboutonia,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,1,4,,2,2,3,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,2,2,5,3,2,,,,,2,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
